dropoff_site,load_id,load_time,load_type,load_weight,report_date,route_number,route_type
Okai Koi South,1473,2002,BULK,58485,2002,BU06,BULK
Ablekuma North,1474,2002,BULK,96822,2002,BU18,BULK
Okai Koi North,1475,2002,GARBAGE COLLECTIONS,72913,2002,PAW76,GARBAGE COLLECTIONS
Ayawaso West Wogon,1476,2002,GARBAGE COLLECTIONS,12665,2002,PAM01,GARBAGE COLLECTIONS
Adenta Municipal,1477,2002,GARBAGE COLLECTIONS,121276,2002,PAM04,GARBAGE COLLECTIONS
Ledzokuku/Krowor Municipal,1478,2002,RECYCLING - SINGLE STREAM,31004,2002,RHAU12,RECYCLING - SINGLE STREAM
Ashaiman Municipal,1479,2002,RECYCLING - PAPER,132823,2002,RF30,RECYCLING - PAPER
Tema Metropolis,1480,2002,RECYCLING - SINGLE STREAM,70111,2002,RMAU22,RECYCLING - SINGLE STREAM
Tema West,1481,2002,GARBAGE COLLECTIONS,2067,2002,PAW01,GARBAGE COLLECTIONS
Tema East,1482,2002,GARBAGE COLLECTIONS,15297,2002,PAH73,GARBAGE COLLECTIONS
Kpone Katamanso,1483,2002,BRUSH,99861,2002,BR15,BRUSH
Dangbe West,1484,2002,GARBAGE COLLECTIONS,61572,2002,PAFJP,GARBAGE COLLECTIONS
Dangbe East,1485,2002,GARBAGE COLLECTIONS,114471,2002,PF14,GARBAGE COLLECTIONS
South Tongu,1486,2002,RECYCLING - PAPER,48861,2002,RW02,RECYCLING - PAPER
Keta Municapal,1487,2002,GARBAGE COLLECTIONS,24307,2002,PAF63,GARBAGE COLLECTIONS
Ketu South,1488,2002,RECYCLING - SINGLE STREAM,14953,2002,RSH01,RECYCLING - SINGLE STREAM
Ketu North,1489,2002,GARBAGE COLLECTIONS,69150,2002,PAT00,GARBAGE COLLECTIONS
Akatsi,1490,2002,GARBAGE COLLECTIONS,112491,2002,PAW76,GARBAGE COLLECTIONS
North Tongu,1491,2002,SWEEPING,41454,2002,SDT01,SWEEPING
Adaklu Anyigbe,1492,2002,RECYCLING - SINGLE STREAM,79079,2002,RWAU16,RECYCLING - SINGLE STREAM
Ho Municipal,1493,2002,GARBAGE COLLECTIONS,74101,2002,PAM73,GARBAGE COLLECTIONS
South Dayi,1494,2002,RECYCLING - COMINGLE,27369,2002,RF14,RECYCLING - COMINGLE
North Dayi,1495,2002,BRUSH,109097,2002,BR12,BRUSH
Hohoe Municipal,1496,2002,GARBAGE COLLECTIONS,20661,2002,PAT08,GARBAGE COLLECTIONS
Biakoye,1497,2002,YARD TRIMMING,1534,2002,YM09,YARD TRIMMING
Jasikan,1498,2002,BULK,66395,2002,BU10,BULK
Kadjebi,1499,2002,GARBAGE COLLECTIONS,107124,2002,PAT65,GARBAGE COLLECTIONS
Krachi East,1500,2002,GARBAGE COLLECTIONS,138668,2002,DM2,GARBAGE COLLECTIONS
Krachi West,1501,2002,SWEEPING,57876,2002,SB87,SWEEPING
Nkwanta South,1502,2002,SWEEPING,17025,2002,SC15-R,SWEEPING
Nkwanta North,1503,2002,YARD TRIMMING,114581,2002,YBM00,YARD TRIMMING
Birim South,1504,2002,RECYCLING - COMINGLE,19948,2002,RM03,RECYCLING - COMINGLE
Birim Municipal,1505,2002,GARBAGE COLLECTIONS,131408,2002,PAF66,GARBAGE COLLECTIONS
West Akim Municipal,1506,2002,SWEEPING,24357,2002,N19,SWEEPING
Suhum-Kraboa Coaltar,1507,2002,SWEEPING,13076,2002,SDT01,SWEEPING
Akwapem South Municipal,1508,2002,SWEEPING,105100,2002,SB29,SWEEPING
Akwapem North,1509,2002,GARBAGE COLLECTIONS,12884,2002,PAM74,GARBAGE COLLECTIONS
New Juaben Municipal,1510,2002,RECYCLING - COMINGLE,90726,2002,DH1,RECYCLING - COMINGLE
Yilo Krobo,1511,2002,BRUSH,10294,2002,BR05,BRUSH
Lower Manya,1512,2002,GARBAGE COLLECTIONS,37026,2002,PAF72,GARBAGE COLLECTIONS
Asuogyaman,1513,2002,YARD TRIMMING,49620,2002,OF-1,YARD TRIMMING
Upper Manya,1514,2002,SWEEPING,17939,2002,DSN02,SWEEPING
Fanteakwa,1515,2002,RECYCLING - PAPER,43687,2002,RF32,RECYCLING - PAPER
East Akim Municipal,1516,2002,BRUSH,34998,2002,BR22,BRUSH
Kwaebibirem,1517,2002,YARD TRIMMING,20491,2002,YH07,YARD TRIMMING
Akyem Mansa,1518,2002,MULCH,8917,2002,BRAKER SITE,MULCH
Birim North,1519,2002,GARBAGE COLLECTIONS,76735,2002,PAM10,GARBAGE COLLECTIONS
Atiwa,1520,2002,RECYCLING - SINGLE STREAM,22910,2002,RHBU23,RECYCLING - SINGLE STREAM
Kwahu West Municipal,1521,2002,BRUSH,109763,2002,BR05,BRUSH
Kwahu South,1522,2002,RECYCLING - COMINGLE,82563,2002,RH11,RECYCLING - COMINGLE
Kwahu East,1523,2002,GARBAGE COLLECTIONS,89596,2002,PAM62,GARBAGE COLLECTIONS
Kwahu North,1524,2002,RECYCLING - PAPER,35212,2002,RF25,RECYCLING - PAPER
Atwima Mponua,1525,2002,YARD TRIMMING,119388,2002,YW02,YARD TRIMMING
Amansie West,1526,2002,GARBAGE COLLECTIONS,82360,2002,PAF64,GARBAGE COLLECTIONS
Amansie Central,1527,2002,SWEEPING,101995,2002,E16-R,SWEEPING
Adansi South,1528,2002,RECYCLING - SINGLE STREAM,104835,2002,RWBU22,RECYCLING - SINGLE STREAM
Obuasi Municipal,1529,2002,RECYCLING - PAPER,28303,2002,RF11,RECYCLING - PAPER
Adansi North,1530,2002,SWEEPING,45949,2002,N18,SWEEPING
Bekwai Municipal,1531,2002,GARBAGE COLLECTIONS,62313,2002,PAW74,GARBAGE COLLECTIONS
Bosome Freho,1532,2002,BRUSH,94772,2002,BR03,BRUSH
Asante Akim South,1533,2002,SWEEPING,97130,2002,N29,SWEEPING
Asante Akim North Municipal,1534,2002,RECYCLING - SINGLE STREAM,4652,2002,RFBU16,RECYCLING - SINGLE STREAM
Ejisu Juaben Municipal,1535,2002,RECYCLING - COMINGLE,41518,2002,RW13,RECYCLING - COMINGLE
Bosumtwi,1536,2002,RECYCLING - SINGLE STREAM,5029,2002,RWBU10,RECYCLING - SINGLE STREAM
Atwima Kwanwoma,1537,2002,SWEEPING,41387,2002,C14-R,SWEEPING
Kumasi Metropolis,1538,2002,BULK,101023,2002,BU14,BULK
Kwadaso,1539,2002,BULK,38041,2002,BU30,BULK
Nhyiaeso,1540,2002,YARD TRIMMING,110720,2002,YT06,YARD TRIMMING
Subin,1541,2002,YARD TRIMMING,113238,2002,YF09,YARD TRIMMING
Asokwa,1542,2002,GARBAGE COLLECTIONS,139535,2002,PAW66,GARBAGE COLLECTIONS
Oforikrom,1543,2002,GARBAGE COLLECTIONS,133803,2002,PH19,GARBAGE COLLECTIONS
Asawase,1544,2002,RECYCLING - SINGLE STREAM,2179,2002,RWBU20,RECYCLING - SINGLE STREAM
Manhyia,1545,2002,GARBAGE COLLECTIONS,105724,2002,PAW73,GARBAGE COLLECTIONS
Old Tafo,1546,2002,GARBAGE COLLECTIONS,66832,2002,PAT00,GARBAGE COLLECTIONS
Suame,1547,2002,GARBAGE COLLECTIONS,35331,2002,PF22,GARBAGE COLLECTIONS
Bantama,1548,2002,RECYCLING - SINGLE STREAM,13006,2002,RWBU11,RECYCLING - SINGLE STREAM
Atwima Nwabiagya,1549,2002,GARBAGE COLLECTIONS,79807,2002,PAW86,GARBAGE COLLECTIONS
Ahafo Ano South,1550,2002,RECYCLING - COMINGLE,124566,2002,RH02,RECYCLING - COMINGLE
Ahafo Ano North,1551,2002,SWEEPING,35716,2002,SDT01,SWEEPING
Offinso Municipal,1552,2002,RECYCLING - SINGLE STREAM,68903,2002,RFAU13,RECYCLING - SINGLE STREAM
Afigya Kwabre,1553,2002,GARBAGE COLLECTIONS,15141,2002,PAH75,GARBAGE COLLECTIONS
Kwabre East,1554,2002,GARBAGE COLLECTIONS,31388,2002,PH14,GARBAGE COLLECTIONS
Afigya Sekyere,1555,2002,GARBAGE COLLECTIONS,24600,2002,PH22,GARBAGE COLLECTIONS
Mampong Municipal,1556,2002,RECYCLING - PAPER,40393,2002,RW24,RECYCLING - PAPER
Sekyere East,1557,2002,GARBAGE COLLECTIONS,84909,2002,PAT71,GARBAGE COLLECTIONS
Sekyere Afram Plains,1558,2002,GARBAGE COLLECTIONS,66733,2002,PF41,GARBAGE COLLECTIONS
Sekyere Central,1559,2002,SWEEPING,65953,2002,S39,SWEEPING
Ejura Sekye Dumasi,1560,2002,BRUSH,112608,2002,BR17,BRUSH
Offinso North,1561,2002,GARBAGE COLLECTIONS,91420,2002,PAT07,GARBAGE COLLECTIONS
Asunafo South,1562,2002,YARD TRIMMING,26468,2002,OW-2,YARD TRIMMING
Asunafo North Municipal,1563,2002,YARD TRIMMING,88745,2002,YW01,YARD TRIMMING
Asutifi,1564,2002,MULCH,76493,2002,BRAKER SITE,MULCH
Dormaa Municipal,1565,2002,BULK,33324,2002,BU13,BULK
Dormaa East,1566,2002,BULK,25441,2002,BU13,BULK
Tano South,1567,2002,GARBAGE COLLECTIONS,90370,2002,PAH05,GARBAGE COLLECTIONS
Tano North,1568,2002,RECYCLING - PAPER,26103,2002,RM30,RECYCLING - PAPER
Sunyani Municipal,1569,2002,GARBAGE COLLECTIONS,85552,2002,PAT51,GARBAGE COLLECTIONS
Sunyani West,1570,2002,SWEEPING,49798,2002,SDT01,SWEEPING
Berekum Municipal,1571,2002,GARBAGE COLLECTIONS,42399,2002,PF39,GARBAGE COLLECTIONS
Jaman South,1572,2002,RECYCLING - SINGLE STREAM,125234,2002,RFAU16,RECYCLING - SINGLE STREAM
Jaman North,1573,2002,SWEEPING,125229,2002,C07-R,SWEEPING
Tain,1574,2002,RECYCLING - SINGLE STREAM,81819,2002,RTAS42,RECYCLING - SINGLE STREAM
Wenchi Municipal,1575,2002,GARBAGE COLLECTIONS,37867,2002,PAM52,GARBAGE COLLECTIONS
Techiman Municipal,1576,2002,GARBAGE COLLECTIONS,26348,2002,PAW03,GARBAGE COLLECTIONS
Nkoranza South,1577,2002,RECYCLING - PAPER,134757,2002,RW05,RECYCLING - PAPER
Nkoranza North,1578,2002,RECYCLING - COMINGLE,50945,2002,RF32,RECYCLING - COMINGLE
Atebubu Amantin,1579,2002,RECYCLING - PAPER,128868,2002,RHAS33,RECYCLING - PAPER
Sene,1580,2002,GARBAGE COLLECTIONS,38780,2002,PAT03,GARBAGE COLLECTIONS
Pru,1581,2002,GARBAGE COLLECTIONS,110483,2002,PAM04,GARBAGE COLLECTIONS
Kintampo South,1582,2002,RECYCLING - COMINGLE,42555,2002,RH21,RECYCLING - COMINGLE
Kintampo North Municipal,1583,2002,GARBAGE COLLECTIONS,14344,2002,PAH77,GARBAGE COLLECTIONS
Bole,1584,2002,RECYCLING - COMINGLE,73953,2002,DH3,RECYCLING - COMINGLE
Sawla-Tuna-Kalba,1585,2002,SWEEPING,32342,2002,SE05-R,SWEEPING
West Gonja,1586,2002,SWEEPING,12404,2002,SW07-R,SWEEPING
Gonja Central,1587,2002,GARBAGE COLLECTIONS,93336,2002,PT20,GARBAGE COLLECTIONS
East Gonja,1588,2002,RECYCLING - SINGLE STREAM,127460,2002,RFBU20,RECYCLING - SINGLE STREAM
Kpandai,1589,2002,GARBAGE COLLECTIONS,127643,2002,PAM01,GARBAGE COLLECTIONS
Nanumba South,1590,2002,SWEEPING,43066,2002,SDT01,SWEEPING
Nanumba North,1591,2002,GARBAGE COLLECTIONS,5519,2002,PAW02,GARBAGE COLLECTIONS
Zabzugu Tatali,1592,2002,GARBAGE COLLECTIONS,93007,2002,PAH72,GARBAGE COLLECTIONS
Yendi Municipal,1593,2002,RECYCLING - COMINGLE,9522,2002,RH11,RECYCLING - COMINGLE
Tamale Metropolis,1594,2002,RECYCLING - PAPER,25409,2002,RW14,RECYCLING - PAPER
Tamale South,1595,2002,RECYCLING - COMINGLE,126762,2002,RF31,RECYCLING - COMINGLE
Tamale Central,1596,2002,BULK,42345,2002,BU10,BULK
Tamale North,1597,2002,BRUSH,93104,2002,BR24,BRUSH
Tolon Kumbugu,1598,2002,GARBAGE COLLECTIONS,114788,2002,PAM65,GARBAGE COLLECTIONS
Savelugu Nanton,1599,2002,YARD TRIMMING,26245,2002,YW03,YARD TRIMMING
Karaga,1600,2002,SWEEPING,138469,2002,W01-R,SWEEPING
Gushiegu,1601,2002,RECYCLING - COMINGLE,76472,2002,RW30,RECYCLING - COMINGLE
Saboba,1602,2002,YARD TRIMMING,44083,2002,YM09,YARD TRIMMING
Chereponi,1603,2002,SWEEPING,68650,2002,SB128,SWEEPING
Bunkpurugu Yonyo,1604,2002,RECYCLING - COMINGLE,35290,2002,RF14,RECYCLING - COMINGLE
Mamprusi East,1605,2002,YARD TRIMMING,94744,2002,YT09,YARD TRIMMING
Mamprusi West,1606,2002,RECYCLING - SINGLE STREAM,28320,2002,RHAS32,RECYCLING - SINGLE STREAM
Builsa,1607,2002,GARBAGE COLLECTIONS,126796,2002,PAF63,GARBAGE COLLECTIONS
Kasena Nankana West,1608,2002,GARBAGE COLLECTIONS,1399,2002,PAW60,GARBAGE COLLECTIONS
Kasena Nankana East,1609,2002,GARBAGE COLLECTIONS,21128,2002,PAT10,GARBAGE COLLECTIONS
Bolgatanga Municipal,1610,2002,YARD TRIMMING,49714,2002,YM04,YARD TRIMMING
Talensi Nabdam,1611,2002,RECYCLING - SINGLE STREAM,2692,2002,DW3,RECYCLING - SINGLE STREAM
Bongo,1612,2002,RECYCLING - COMINGLE,79697,2002,RH03,RECYCLING - COMINGLE
Bawku West,1613,2002,GARBAGE COLLECTIONS,8301,2002,PAM07,GARBAGE COLLECTIONS
Garu Tempane,1614,2002,GARBAGE COLLECTIONS,5177,2002,PAM04,GARBAGE COLLECTIONS
Bawku Municipal,1615,2002,SWEEPING,105076,2002,SDT01,SWEEPING
Wa West,1616,2002,RECYCLING - SINGLE STREAM,13997,2002,DF1,RECYCLING - SINGLE STREAM
Wa Municipal,1617,2002,RECYCLING - SINGLE STREAM,43373,2002,RHAS41,RECYCLING - SINGLE STREAM
Wa East,1618,2002,GARBAGE COLLECTIONS,8482,2002,PM11,GARBAGE COLLECTIONS
Sissala East,1619,2002,GARBAGE COLLECTIONS,90530,2002,PAW85,GARBAGE COLLECTIONS
Nadowli,1620,2002,RECYCLING - SINGLE STREAM,99543,2002,RTAS34,RECYCLING - SINGLE STREAM
Jirapa,1621,2002,GARBAGE COLLECTIONS,112431,2002,PW21,GARBAGE COLLECTIONS
Sissala West,1622,2002,BRUSH,116646,2002,ST0508,BRUSH
Lambussie Karni,1623,2002,GARBAGE COLLECTIONS,126528,2002,PW30,GARBAGE COLLECTIONS
Lawra,1624,2002,RECYCLING - SINGLE STREAM,28090,2002,RWBU11,RECYCLING - SINGLE STREAM
Jomoro,1625,2001,BRUSH,15333,2001,BR22,BRUSH
Ellembelle,1626,2001,GARBAGE COLLECTIONS,56789,2001,PAT66,GARBAGE COLLECTIONS
Nzema East,1627,2001,RECYCLING - SINGLE STREAM,105987,2001,RHBU12,RECYCLING - SINGLE STREAM
Ahanta West,1628,2001,BULK,7517,2001,BU18,BULK
Sekondi Takoradi Metropolis,1629,2001,GARBAGE COLLECTIONS,30382,2001,PAM80,GARBAGE COLLECTIONS
Kwesimintsim,1630,2001,RECYCLING - SINGLE STREAM,37199,2001,RHBU12,RECYCLING - SINGLE STREAM
Takoradi,1631,2001,RECYCLING - SINGLE STREAM,37172,2001,RTBS34,RECYCLING - SINGLE STREAM
Sekondi,1632,2001,RECYCLING - PAPER,73490,2001,DM1,RECYCLING - PAPER
Essikadu-Ketan,1633,2001,RECYCLING - SINGLE STREAM,140562,2001,RMBU10,RECYCLING - SINGLE STREAM
Shama,1634,2001,RECYCLING - SINGLE STREAM,3490,2001,RFBS32,RECYCLING - SINGLE STREAM
Mpohor-Wassa East,1635,2001,GARBAGE COLLECTIONS,6466,2001,PAM67,GARBAGE COLLECTIONS
Tarkwa Nsuaem Municipal,1636,2001,RECYCLING - PAPER,136206,2001,RT13,RECYCLING - PAPER
Prestea/Huni Valley,1637,2001,BRUSH,5219,2001,BR13,BRUSH
Wassa Amenfi East,1638,2001,GARBAGE COLLECTIONS,3451,2001,PT32,GARBAGE COLLECTIONS
Wassa Amenfi West,1639,2001,BULK,73374,2001,BU19,BULK
Aowin/Suaman,1640,2001,RECYCLING - SINGLE STREAM,39542,2001,RTAU15,RECYCLING - SINGLE STREAM
Sefwi Akontombra,1641,2001,GARBAGE COLLECTIONS,139688,2001,PM39,GARBAGE COLLECTIONS
Sefwi Wiawso,1642,2001,RECYCLING - PAPER,19739,2001,DF2,RECYCLING - PAPER
Sefwi Bibiani-Ahwiaso Bekwai,1643,2001,BULK,142097,2001,BU16,BULK
Juabeso,1644,2001,SWEEPING,123980,2001,SE03-R,SWEEPING
Bia,1645,2001,RECYCLING - SINGLE STREAM,120300,2001,RWAU10,RECYCLING - SINGLE STREAM
Komenda,1646,2001,GARBAGE COLLECTIONS,69470,2001,PAW62,GARBAGE COLLECTIONS
Cape Coast Metropolis,1647,2001,GARBAGE COLLECTIONS,121397,2001,PAF84,GARBAGE COLLECTIONS
Cape Coast South,1648,2001,GARBAGE COLLECTIONS,15639,2001,PAM70,GARBAGE COLLECTIONS
Cape Coast North,1649,2001,RECYCLING - PAPER,23988,2001,RM23,RECYCLING - PAPER
Abura-Asebu-Kwamankese,1650,2001,BRUSH,8333,2001,BR01,BRUSH
Mfantsiman Municipal,1651,2001,YARD TRIMMING,46790,2001,YT12,YARD TRIMMING
Ajumako-Enyan-Essiam,1652,2001,RECYCLING - PAPER,130982,2001,RF20,RECYCLING - PAPER
Gomoa West,1653,2001,GARBAGE COLLECTIONS,64222,2001,PW22,GARBAGE COLLECTIONS
Effutu Municipal,1654,2001,RECYCLING - SINGLE STREAM,10867,2001,RMAU10,RECYCLING - SINGLE STREAM
Gomoa East,1655,2001,GARBAGE COLLECTIONS,21601,2001,PAH69,GARBAGE COLLECTIONS
Ewutu Senya,1656,2001,MIXED LITTER,126684,2001,SI21,MIXED LITTER
Agona East,1657,2001,GARBAGE COLLECTIONS,35432,2001,PAF07,GARBAGE COLLECTIONS
Agona West,1658,2001,YARD TRIMMING,590,2001,OW-2,YARD TRIMMING
Brakwa,1659,2001,RECYCLING - SINGLE STREAM,106940,2001,RST01,RECYCLING - SINGLE STREAM
Assin South,1660,2001,GARBAGE COLLECTIONS,112248,2001,PAT74,GARBAGE COLLECTIONS
Assin North Municipal,1661,2001,SWEEPING,7769,2001,C01-R,SWEEPING
Twifo-Heman-Lower Denkyira,1662,2001,GARBAGE COLLECTIONS,140102,2001,PAF60,GARBAGE COLLECTIONS
Upper Denkyira East Municipal,1663,2001,BRUSH,56942,2001,BR23,BRUSH
Upper Denkyira West,1664,2001,GARBAGE COLLECTIONS,87794,2001,PAW73,GARBAGE COLLECTIONS
Weija (Ga South) Municipal,1665,2001,SWEEPING,99137,2001,SW04-R,SWEEPING
Ga West Municipal,1666,2001,RECYCLING - COMINGLE,47859,2001,RF12,RECYCLING - COMINGLE
Ga East Municipal,1667,2001,BULK,36854,2001,BU30,BULK
Accra Metropolis,1668,2001,GARBAGE COLLECTIONS,15448,2001,PAW81,GARBAGE COLLECTIONS
Ablekuma South,1669,2001,GARBAGE COLLECTIONS,74576,2001,PAW65,GARBAGE COLLECTIONS
Ablekuma Central,1670,2001,GARBAGE COLLECTIONS,22493,2001,PAM72,GARBAGE COLLECTIONS
Ashiedu Keteke,1671,2001,GARBAGE COLLECTIONS,76822,2001,PAM60,GARBAGE COLLECTIONS
Osu Klotey,1672,2001,RECYCLING - SINGLE STREAM,92853,2001,RWBU10,RECYCLING - SINGLE STREAM
La,1673,2001,RECYCLING - SINGLE STREAM,67896,2001,RHAS35,RECYCLING - SINGLE STREAM
Ayawaso East,1674,2001,YARD TRIMMING,105389,2001,YT02,YARD TRIMMING
Ayawaso Central,1675,2001,RECYCLING - PAPER,44024,2001,RT15,RECYCLING - PAPER
Okai Koi South,1676,2001,BRUSH,6208,2001,BR16,BRUSH
Ablekuma North,1677,2001,GARBAGE COLLECTIONS,36811,2001,PF39,GARBAGE COLLECTIONS
Okai Koi North,1678,2001,YARD TRIMMING,73309,2001,YT07,YARD TRIMMING
Ayawaso West Wogon,1679,2001,RECYCLING - SINGLE STREAM,80133,2001,RWBU15,RECYCLING - SINGLE STREAM
Adenta Municipal,1680,2001,GARBAGE COLLECTIONS,21711,2001,PW21,GARBAGE COLLECTIONS
Ledzokuku/Krowor Municipal,1681,2001,SWEEPING,62935,2001,C12-R,SWEEPING
Ashaiman Municipal,1682,2001,SWEEPING,35138,2001,DSS06,SWEEPING
Tema Metropolis,1683,2001,GARBAGE COLLECTIONS,95389,2001,PAH80,GARBAGE COLLECTIONS
Tema West,1684,2001,SWEEPING,7493,2001,NE04-R,SWEEPING
Tema East,1685,2001,YARD TRIMMING,1271,2001,YBM00,YARD TRIMMING
Kpone Katamanso,1686,2001,RECYCLING - SINGLE STREAM,69552,2001,RMBS34,RECYCLING - SINGLE STREAM
Dangbe West,1687,2001,RECYCLING - SINGLE STREAM,76436,2001,RTBU26,RECYCLING - SINGLE STREAM
Dangbe East,1688,2001,BULK,17467,2001,BU11,BULK
South Tongu,1689,2001,RECYCLING - SINGLE STREAM,43940,2001,DT1,RECYCLING - SINGLE STREAM
Keta Municapal,1690,2001,RECYCLING - COMINGLE,73039,2001,RF05,RECYCLING - COMINGLE
Ketu South,1691,2001,RECYCLING - SINGLE STREAM,64428,2001,DF3,RECYCLING - SINGLE STREAM
Ketu North,1692,2001,YARD TRIMMING,38958,2001,YBH99,YARD TRIMMING
Akatsi,1693,2001,RECYCLING - PAPER,3437,2001,IRF1,RECYCLING - PAPER
North Tongu,1694,2001,RECYCLING - SINGLE STREAM,34272,2001,RFAS43,RECYCLING - SINGLE STREAM
Adaklu Anyigbe,1695,2001,GARBAGE COLLECTIONS,77183,2001,PH42,GARBAGE COLLECTIONS
Ho Municipal,1696,2001,GARBAGE COLLECTIONS,84752,2001,PW32,GARBAGE COLLECTIONS
South Dayi,1697,2001,GARBAGE COLLECTIONS,54778,2001,PAW88,GARBAGE COLLECTIONS
North Dayi,1698,2001,GARBAGE COLLECTIONS,21855,2001,PAH65,GARBAGE COLLECTIONS
Hohoe Municipal,1699,2001,BRUSH,10780,2001,BR16,BRUSH
Biakoye,1700,2001,SWEEPING,19904,2001,SDT01,SWEEPING
Jasikan,1701,2001,RECYCLING - SINGLE STREAM,87267,2001,RFBU26,RECYCLING - SINGLE STREAM
Kadjebi,1702,2001,GARBAGE COLLECTIONS,14622,2001,PAF10,GARBAGE COLLECTIONS
Krachi East,1703,2001,GARBAGE COLLECTIONS,22684,2001,PAH54,GARBAGE COLLECTIONS
Krachi West,1704,2001,SWEEPING,106047,2001,W05-R,SWEEPING
Nkwanta South,1705,2001,BRUSH,65111,2001,BR12,BRUSH
Nkwanta North,1706,2001,RECYCLING - PAPER,5107,2001,RT14,RECYCLING - PAPER
Birim South,1707,2001,RECYCLING - SINGLE STREAM,134733,2001,RWAU21,RECYCLING - SINGLE STREAM
Birim Municipal,1708,2001,GARBAGE COLLECTIONS,8338,2001,PAM07,GARBAGE COLLECTIONS
West Akim Municipal,1709,2001,YARD TRIMMING,136817,2001,YHP,YARD TRIMMING
Suhum-Kraboa Coaltar,1710,2001,RECYCLING - PAPER,124288,2001,RF21,RECYCLING - PAPER
Akwapem South Municipal,1711,2001,RECYCLING - SINGLE STREAM,79592,2001,IRW1,RECYCLING - SINGLE STREAM
Akwapem North,1712,2001,GARBAGE COLLECTIONS,75714,2001,PAH01,GARBAGE COLLECTIONS
New Juaben Municipal,1713,2001,GARBAGE COLLECTIONS,63904,2001,PAW00,GARBAGE COLLECTIONS
Yilo Krobo,1714,2001,GARBAGE COLLECTIONS,120855,2001,PT12,GARBAGE COLLECTIONS
Lower Manya,1715,2001,GARBAGE COLLECTIONS,41544,2001,PAW70,GARBAGE COLLECTIONS
Asuogyaman,1716,2001,BULK,34559,2001,BU06,BULK
Upper Manya,1717,2001,GARBAGE COLLECTIONS,72415,2001,PAW80,GARBAGE COLLECTIONS
Fanteakwa,1718,2001,SWEEPING,67788,2001,SB72,SWEEPING
East Akim Municipal,1719,2001,RECYCLING - SINGLE STREAM,27543,2001,RFBU21,RECYCLING - SINGLE STREAM
Kwaebibirem,1720,2001,BULK,2962,2001,BU29,BULK
Akyem Mansa,1721,2001,GARBAGE COLLECTIONS,28584,2001,PAT63,GARBAGE COLLECTIONS
Birim North,1722,2001,YARD TRIMMING,26867,2001,YBM00,YARD TRIMMING
Atiwa,1723,2001,RECYCLING - PAPER,16611,2001,RW06,RECYCLING - PAPER
Kwahu West Municipal,1724,2001,BRUSH,35832,2001,BR05,BRUSH
Kwahu South,1725,2001,RECYCLING - SINGLE STREAM,34811,2001,RMAU16,RECYCLING - SINGLE STREAM
Kwahu East,1726,2001,BULK,104478,2001,BU01,BULK
Kwahu North,1727,2001,GARBAGE COLLECTIONS,106746,2001,PAM75,GARBAGE COLLECTIONS
Atwima Mponua,1728,2001,YARD TRIMMING,5648,2001,YBF00,YARD TRIMMING
Amansie West,1729,2001,RECYCLING - PAPER,139552,2001,RW24,RECYCLING - PAPER
Amansie Central,1730,2001,GARBAGE COLLECTIONS,35702,2001,PAF04,GARBAGE COLLECTIONS
Adansi South,1731,2001,GARBAGE COLLECTIONS,43635,2001,PH10,GARBAGE COLLECTIONS
Obuasi Municipal,1732,2001,BULK,139880,2001,BU05,BULK
Adansi North,1733,2001,BRUSH,131850,2001,BR09,BRUSH
Bekwai Municipal,1734,2001,RECYCLING - SINGLE STREAM,74342,2001,RMBU14,RECYCLING - SINGLE STREAM
Bosome Freho,1735,2001,GARBAGE COLLECTIONS,105046,2001,PF81,GARBAGE COLLECTIONS
Asante Akim South,1736,2001,RECYCLING - SINGLE STREAM,101635,2001,RTAU22,RECYCLING - SINGLE STREAM
Asante Akim North Municipal,1737,2001,BULK,65599,2001,BU02,BULK
Ejisu Juaben Municipal,1738,2001,BULK,20657,2001,BU16,BULK
Bosumtwi,1739,2001,RECYCLING - SINGLE STREAM,28148,2001,RTAS34,RECYCLING - SINGLE STREAM
Atwima Kwanwoma,1740,2001,RECYCLING - PAPER,128674,2001,RM20,RECYCLING - PAPER
Kumasi Metropolis,1741,2001,GARBAGE COLLECTIONS,22135,2001,PW14,GARBAGE COLLECTIONS
Kwadaso,1742,2001,RECYCLING - SINGLE STREAM,27021,2001,RWAU12,RECYCLING - SINGLE STREAM
Nhyiaeso,1743,2001,RECYCLING - SINGLE STREAM,92701,2001,RFAU21,RECYCLING - SINGLE STREAM
Subin,1744,2001,GARBAGE COLLECTIONS,74909,2001,PAT74,GARBAGE COLLECTIONS
Asokwa,1745,2001,RECYCLING - PAPER,39732,2001,RM15,RECYCLING - PAPER
Oforikrom,1746,2001,GARBAGE COLLECTIONS,74029,2001,PAH06,GARBAGE COLLECTIONS
Asawase,1747,2001,BRUSH,27221,2001,BR17,BRUSH
Manhyia,1748,2001,RECYCLING - SINGLE STREAM,7005,2001,SXSW2016,RECYCLING - SINGLE STREAM
Old Tafo,1749,2001,GARBAGE COLLECTIONS,39087,2001,PAF53,GARBAGE COLLECTIONS
Suame,1750,2001,BULK,19478,2001,BU11,BULK
Bantama,1751,2001,RECYCLING - SINGLE STREAM,72691,2001,RWBU50,RECYCLING - SINGLE STREAM
Atwima Nwabiagya,1752,2001,RECYCLING - SINGLE STREAM,80210,2001,RFAS41,RECYCLING - SINGLE STREAM
Ahafo Ano South,1753,2001,RECYCLING - SINGLE STREAM,113958,2001,RWBU13,RECYCLING - SINGLE STREAM
